существительное;класс наун;глагол;акцион;таксон;коллокация;нестандартные конструкции (1 или 2);субъекты (отличные от человека);пример употребления;частота
вкопанный;физические свойства/состояния: результат воздействия;встать;действие;движение: остановка;встать как вкопанный;;;"Действительно, Диана встала как вкопанная и лопочет: ""Опоздали"", а я с криком ""Побежали-и-и-и-и"" припустила к машине. [Светлана Ткачева. Новый год и звезды (2002) // «100% здоровья», 2002.11.11]";119
вкопанный;физические свойства/состояния: результат воздействия;замереть;действие;движение: остановка;замереть как вкопанный;;карусель;Карусель сделала по инерции еще один круг и замерла как вкопанная вместе с детьми на самом верху.;57
вкопанный;физические свойства/состояния: результат воздействия;застыть;действие;движение: остановка;застыть как вкопанный;;кони;Нет, мог бы, конечно, Ученик Феи сделать так, чтоб эти кони застыли, как вкопанные!;9
вкопанный;физические свойства/состояния: результат воздействия;остановиться;действие;движение: остановка;остановиться как вкопанный;;;? С адвокатом? ? от неожиданности я остановился как вкопанный. [Вера Белоусова. Второй выстрел (2000)];17
вкопанный;физические свойства/состояния: результат воздействия;стать;действие;движение: остановка;стать как вкопанный;;;Еремеевна взяла место к стороне и, сложа руки, стала как вкопанная, выпяля глаза на Стародума, с рабским подобострастием. [Д. И. Фонвизин. Недоросль (1782)];225
вкопанный;физические свойства/состояния: результат воздействия;стоять;положение в пространстве;позиция;стоять как вкопанный;;;Обед закончился, но Шакир облокотился на лопату и стоит как вкопанный, к работе не подключается. [М. И. Саитов. Островки // «Бельские Просторы», 2010];66
влитой;физические свойства/состояния;сидеть;положение в пространстве;позиция;сидеть как влитой;;костюм, мундир, наряд, доспехи, пиджак;Костюм на вас сидит как влитой.;15
вода;природа;течь;процесс;движение: направленное, природное явление;течь как вода;;годы, огонь, слухи, линии, время, слезы, звук;Однако годы текут, как вода, и в один прекрасный день Гаральд возвратился с богатой добычей и победой в Киев. [А. П. Ладинский. Анна Ярославна -- королева Франции (1960)];20
вол;животные: звери;работать;деятельность;актуальное/потенциальное занятие;работать как вол;;;Осталась без рабочего стажа, хотя работалакак вол, но была свободна для сына. [коллективный. Хватит губить детей! (2011)];69
волчок;артефакты;вертеться;действие;движение: ненаправленное;вертеться как волчок;;;На глубоком месте он делал такую необыкновенную вещь, которой я потом нигде не видал: он садился, точно это была земля, а не вода, поднимал ноги так, что его тело образовывало острый угол, и вдруг начинал вертеться, как волчок: я помню, как я, сидя голым на берегу, смеялся, и потом, вцепившись в шею отца, переплывал реку на его широкой волосатой спине. [Г. А. Газданов. Вечер у Клэр / начало романа (1930)];7
волчок;артефакты;крутиться;действие;движение: ненаправленное;крутиться как волчок;;;? Эй, любезный! ? закричал часовой, махая ему рукой, ? подожди маленько, что ты крутишься, как волчок? [М. Ю. Лермонтов. Герой нашего времени (1839-1841)];4
воск;материалы и вещества;таять;процесс, свойство;изменение состояния/признака: процесс, прекращение существования, природное явление;таять как воск;;;Маменька её поедом ест, а она, как тень какая, ходит безответная. Только плачет да тает, как воск. Вот я и убиваюсь, глядя на неё. [А. Н. Островский. Гроза (1860)];25
герой;человек: оценка;погибнуть;событие;прекращение существования;погибнуть как герой;;;? Они не стали ждать, пока их запытают, они погибли, как герои. [Марина Ахмедова. Понять дракона // «Русский репортер», № 3 (181), 27 января 2011, 2011];12
герой;человек: оценка;умереть;событие;прекращение существования;умереть как герой;;;Волченинов умер как герой, защищая слабых студентов, прямо на поле боя, от многочисленных ран. [Митьки. Постскриптум (1997)];15
град;природа: явления;посыпаться;событие;движение: начало, движение: падение;посыпаться как град;;слезы, черепицы, удары, пули, деньги;Не так пташка трепещет в когтях у ястреба, как я дрожала вся, не могла вымолвить ни полсловечка, свет выкатился у меня из глаз, слезы посыпались, как град, я только что вздыхала, ноги мои подкосились, я не могла стоять и упала к нему на руки. [П. Ю. Львов. Даша, деревенская девушка (1803)];4
гриб;природа;расти;процесс;изменение состояния/признака: процесс, природное явление;расти как грибы;;резиденции, гении, цеха, музеи, коттеджи, магазины, палатки, котеджи, музеи, постройки;А в эпоху Возрождения эти места открыл для себя королевский двор ? и по обоим берегам Луары стали расти как грибы королевские резиденции. [Владимир Гаков. Во Францию -- на машине времени (2001) // «Туризм и образование», 2001.03.15];62
гром;природа: явления;прозвучать;проявление;звук;прозвучать как гром среди ясного неба;1;речь;Для многих в Японии эта речь прозвучала как гром среди ясного неба. [Борис Дмитриев. Ни пяди назад // «Коммерсантъ-Власть», 1998];3
дети;человек: маленький возраст;веселиться;занятие;эмоции;веселиться как дети;;;Весь этот день прошёл как нельзя лучше. Мы веселились, как дети. Ася была очень мила и проста. [И. C. Тургенев. Ася (1858)];13
дети;человек: маленький возраст;радоваться;состояние;эмоции;радоваться как дети;;;Ваня едва прикоснулся к рисовому пудингу и выпил всего лишь две небольшие рюмки коньяка ? больше он смотрел на Валю и радовался как ребенок. [Татьяна Тронина. Русалка для интимных встреч (2004)];90
дитя;человек: маленький возраст;заплакать;действие;звук: начало, эмоции: проявление;заплакать как дитя;;;Буря мглою небо кроет, Вихри снежные крутя, То как зверь она завоет, То заплачет, как дитя. [Татьяна Толстая. Ночь (1983)];15
дитя;человек: маленький возраст;обрадоваться;событие;эмоции;обрадоваться как дитя;;;Гусейн, опечаленный словами Юрия о невозможности использовать прежний канал, обрадовался как дитя, услышав предложение нового партнёра. [Героиновый тюремщик (2003) // «Криминальная хроника», 2003.07.24];8
дитя;человек: маленький возраст;плакать;действие;эмоции: проявление, звук;плакать как дитя;;;Рядом со мной сидела женщина лет тридцати пяти и плакала как дитя. [Евгения Пищикова. Пятиэтажная Россия (2007) // «Русская Жизнь», 2008];29
дрожжи;природа;расти;процесс;изменение состояния/признака: процесс, природное явление;расти как на дрожжах;2;;Перспективные российские теннисистки в последнее время растут как на дрожжах. [Денис Быстров. Первый эшелон. Светлана Кузнецова оказалась 11-й российской теннисисткой в первой сотне мирового рейтинга (2002) // «Известия», 2002.08.13];65
дурак;ментальные свойства человека: отсутствие ума, человек: оценка;молчать;действие, состояние;звук, речь;молчать как дура(к);;;? И тут нужно сказать: вы поставили меня в идиотское положение, она шипела и брызгала на меня, а я молчал как дурак, ведь у нас в самом деле нет никакой Попятной. [Ю. О. Домбровский. Хранитель древностей, часть 1 (1964)];23
дурак;ментальные свойства человека: отсутствие ума, человек: оценка;сидеть;положение в пространстве;позиция;сидеть как дура(к);;;"Идут две какие-то, смотрят на меня, прошли мимо и нарочно громко: ""Сидит, как дура, с кукушечьим пером! [Н. А. Тэффи. Семейный аккорд (1910)]";7
дурак;ментальные свойства человека: отсутствие ума, человек: оценка;стоять;положение в пространстве;позиция;стоять как дура(к);;;Выпучился на неё и стою как дурак. [Андрей Геласимов. Фокс Малдер похож на свинью (2001)];26
дым;природа: явления;исчезать;процесс;прекращение существования;исчезать как дым;;сон, обещание, дом, абстракции;Являются в костях, мясе и крови, цвете, вкусе и запахе, а исчезают, как дым. [Галина Щербакова. Loveстория (1996)];19
дым;природа: явления;исчезнуть;событие;прекращение существования;исчезнуть как дым;;абстрактные имена;? А теперь я послушаю Наталью Тихоновну, а этих девушек мы попросим исчезнуть, как дым. [В. А. Каверин. Открытая книга (1949-1956)];15
дым;природа: явления;развеяться;событие, действие;прекращение существования;развеяться как дым;;страхи, надежды, сомнения;Что там первично ? дух или материя, есть ли жизнь после смерти ? отныне все его сомнения развеялись, как дым. [Марина Москвина. Небесные тихоходы: путешествие в Индию (2003)];40
дым;природа: явления;рассеяться;событие;прекращение существования;рассеяться как дым;;тьма, подозрения, реакция, сон, надежда, неправда;Но при первых же звуках кислого директорски-департаментского голоса эта надежда рассеялась, как дым. [Ф. К. Сологуб. Маленький человек (1907)];14
дым;природа: явления;растаять;событие;изменение состояния/признака: достижение результата, прекращение существования;растаять как дым;;зима, торжество, надежды, интерес, видение;После чего интерес к нему растает, как дым. [Читая Бориса Акунина (2003) // «Вестник США», 2003.07.23];24
дым;природа: явления;улетучиться;событие;движение, прекращение существования;улетучиться как дым;;планы, уверенность, сдержанность;Ошалел Иван Иваныч, представив себе все эти большевистские «народно-хозяйственные планы», которые улетучились, как дым от упомянутого наркотика. [Евгений Попов. Подлинная история «Зеленых музыкантов» (1997)];5
жар;природа: явления;гореть;проявление;природное явление, свет;гореть как жар;;украшения, штаны, самовар;В первое время все украшения горели как жар, и когда императрица Елизавета приехала со всем двором и иностранными министрами осматривать его, то все были поражены его великолепием, и каждый из придворных спешил выразить свое изумление.;16
завороженный;физические свойства/состояния: результат воздействия;сидеть;положение в пространстве;позиция;сидеть как завороженный;;;Он сидел как завороженный, только механически гладил ее локоны. [Владимир Высоцкий. Где Центр? (1975)];8
завороженный;физические свойства/состояния: результат воздействия;смотреть;действие;зрительное восприятие;смотреть как завороженный;;;Пока он готовил инструменты, я смотрел как завороженный на его руки. [Герман Садулаев. Шалинский рейд (2009) // «Знамя», 2010];6
завороженный;физические свойства/состояния: результат воздействия;стоять;положение в пространстве;позиция;стоять как завороженный;;;Слушатели сидели как зачарованные, полтора часа пролетели как 5 минут. [К. И. Чуковский, Е. В. Тарле. Переписка (1929-1951) // «Театральная Россия», 1905];10
зачарованный;физические свойства/состояния: результат воздействия;сидеть;положение в пространстве;позиция;сидеть как зачарованный;;;Слушатели сидели как зачарованные, полтора часа пролетели как 5 минут. [К. И. Чуковский, Е. В. Тарле. Переписка (1929-1951) // «Театральная Россия», 1905];4
зачарованный;физические свойства/состояния: результат воздействия;смотреть;действие;зрительное восприятие;смотреть как зачарованный;;;Он указал на окно, и когда Чезарини взглянул в него, то с минуту смотрел как зачарованный. [Михаил Филиппов. Отсроченное время // «Техника - молодежи», 1974];15
зачарованный;физические свойства/состояния: результат воздействия;стоять;положение в пространстве;позиция;стоять как зачарованный;;;Прутик, Настенька и Чижик стояли, как зачарованные, и не могли произнести ни слова. [Валентин Постников. Приключения Карандаша и Самоделкина на «Дрындолете» (1997)];7
звезда;природа: объекты;светить;действие, проявление;свет;светить как звезда;;;Поэтому Нептун светит как звезда8 m, гораздо слабее, чем видит человеческий глаз. [Андрей Остапенко. Звёздное небо, луна и планеты в январе 2010 года // «Наука и жизнь», 2009];4
звезда ;природа: объекты;светиться;проявление;свет;светиться как звезда;;камень, слова, ромашки, мир, лицо;Волк летел на камне в вечереющем небе, марсиане открыли иллюминаторы, и камень светился, как звезда. [Сергей Козлов. Как Ёжик с Медвежонком спасли Волка // «Мурзилка», 2003];5
зверь;животные: звери;драться;действие;актуальное/потенциальное занятие;драться как зверь;;;И даже ведомый ложной, с точки зрения современности (на 1987 год), идеей национал-социализма, немец дралсякак зверь. [Эдуард Лимонов. У нас была Великая Эпоха (1987)];5
зверь;животные: звери;проголодаться;событие;физиология;проголодаться как зверь;;;Ходил, ходил, ездил в автобусах, объясняясь по преимуществу мычанием, и, наконец, проголодался, как зверь, заехал куда-то, чёрт его знает куда. [М. А. Булгаков. Театральный роман (1936-1937)];2
зверь;животные: звери;работать;деятельность;актуальное/потенциальное занятие;работать как зверь;;;И мысленно пообещал себе, что с этого момента буду работать как зверь. [Игорь Лепин. Старые песни для главных (1997) // «Столица», 1997.01.06];15
зеница;части тела;беречь;;обладание;беречь как зеницу ока;2;секрет;А главный секрет, который надо было беречь как зеницу ока, заключался в том, что Советский Союз далеко отставал от Америки по этим вооружениям, хотя в речах советских руководителей, в прессе и по телевидению все преподносилось наоборот.;37
зеница;части тела;хранить;;обладание;хранить как зеницу ока;2;;Все она хранила как зеницу ока ? идейность, честность, девственность, ничего нельзя было тронуть, взрывалась, как динамит. [Галина Щербакова. Ах, Маня... (2002)];21
зеркало;артефакты;блестеть;проявление, свойство;свет;блестеть как зеркало;;самовар, сапоги;Чай пили из большого медного самовара, который блестел, как зеркало.;46
змея;животные: рептилии;виться;свойство;движение: ненаправленное;виться как змея;;;И выходит на песок налим, фунтов на девять, почтенный, ленивый, вьётся, как змей, и крючочек у него из губы и выскользнул. [А. Н. Толстой. На рыбной ловле (1923)];7
змея;животные: рептилии;извиваться;действие, свойство;движение;извиваться как змея;;дорога, туман, шнур, водоросль, строки, щупальца, локон;Его шнур извивался, как змея? шур. шур. шур.. [Тим. Собакин. Черный утюг // «Трамвай», 1990];34
змея;животные: рептилии;изгибаться;действие, свойство;движение;изгибаться как змея;;угри;Плавают и ползают угри, изгибаяськак змеи. [Александр Тамбиев. Пункт прибытия — Саргассово море // «Наука и жизнь», 2009];4
золото;природа: драгоценные материалы;блестеть;проявление, свойство;свет;блестеть как золото;;;Дождь его мочил, снег засыпал, клевали вороны? он всё молился, в каждой руке он держал на весу по тяжёлому камню, вериги на теле от многого труда сделались блестящими, как золото… [В. В. Вересаев. В степи (1901)];21
золото;природа: драгоценные материалы;сиять;проявление;свет;сиять как золото;;;Любо было смотреть на полосатую степь, засеянную хлебами: рожь сияла, как золото, а подымалась в рост человеческий, ячмени же ещё зелёные, но такие тучные, что в иных местах полегли от тяжести колосьев, а между ними красные полосы гречихи, покрытые сверху серебряными цветочками. [И. И. Панаев. Раздел имения (1850-1860)];4
идиот;ментальные свойства человека: отсутствие ума, человек: оценка;выглядеть;свойство;;выглядеть как идиот;;;? Должен тебе сказать, что ты выглядишькакидиот, ? сказал он, строго оглядев меня. [Фазиль Искандер. Письмо (1969)];3
идиот;ментальные свойства человека: отсутствие ума, человек: оценка;улыбаться;действие;эмоции: проявление;улыбаться как идиот;;;Но, как кто-то правильно сказал, всё равно сидишь полтора часа и улыбаешьсякакидиот. [коллективный. Рапунцель: запутанная история (2010)];3
изваяние;сооружения;замереть;действие;движение: остановка;замереть как изваяние;;;Феликс замер, какизваяние, словно забыв о моём присутствии… [Павел Михненко. Мусорщик // «Наука и жизнь», 2009];3
именинник;человек;ходить;действие;движение: ненаправленное;ходить как именинник;;;Несколько дней после известия он ходил как именинник, бормотал слова из евангелия, перенятые у Лопатина, Насте с матерью купил по новому платку.;6
искра;природа;вспыхивать;событие;природное явление, свет: начало;вспыхивать как искры;;;Если глядеть в глубину, можно было заметить каких-то серебристых мальков, которые неожиданно проносились, вспыхиваякакискры, выбитые из головешки. [Фазиль Искандер. Рассказ о море (1962)];3
истукан;артефакты;сидеть;положение в пространстве;позиция;сидеть как истукан;;;Тем более, я уже собирался пихнуть ногу на переднее сиденье тем же манером, а вместо этого сижу, как истукан, и бешусь. [Мариам Петросян. Дом, в котором... (2009)];32
истукан;артефакты;стоять;положение в пространстве;позиция;стоять как истукан;;;? Да что же это?! ? рявкнул Гарднер. ? Что вы стоите, как истуканы! Выкиньте его! [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 2 (1943-1958)];44
колокольчик;артефакты;звенеть;проявление;звук;звенеть как колокольчик;;песня, голос, смех;? Позовите, пожалуйста, Джамала…? произносил Кямал. Ирина радостно хохотала, звенела как колокольчик. Кямал слушал её счастливый звон, в нём всё резонировало и отзывалось. [Токарева Виктория. Своя правда // «Новый Мир», 2002];10
ком;природа: объекты;нарастать;процесс;изменение состояния/признака: процесс;нарастать как снежный ком;1;;«Дачный» скандал, тем временем, нарастал как снежный ком. [Павел Евдокимов. Человек из Копенгагена (2003) // «Спецназ России», 2003.06.15];15
конь;животные: звери;заржать;действие;звук: начало, эмоции: проявление;заржать как конь;;;Ну, сделайте так: «Га-га-га!» ? и фотограф с деловым видом оскалил зубы и заржал, как конь. [И. А. Ильф, Е. П. Петров. Колумб причаливает к берегу (1936)];5
конь;животные: звери;ржать;поведение, свойство;эмоции: проявление, звук;ржать как конь;;;[soltman, nick] Не знаю Ржал как конь )) Ну где-то, может, и не может быть лишен, но вы не забывайте мы в России, тут всё можно (как говорится, закон, что дышло… [коллективный. Разорять область они не боялись, а книжку боятся (2011)];9
коршун;животные: птицы;налететь;действие;движение;налететь как коршун;;;На официантку с подносом налетали как коршуны и хватали кто две, кто три порции, кто ни одной. [Владимир Войнович. Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру (1976)];2
кузнечик;животные: насекомые;прыгать;действие;движение: ненаправленное;прыгать как кузнечик;;;Это единственный таракан, прыгающий, как кузнечик, с помощью сильных задних лапок. [Алексей Торгашев. Самые странные существа года // «Русский репортер», № 22 (200), 9 июня 2011, 2011];2
лев;животные: звери;драться;действие;актуальное/потенциальное занятие;драться как лев;;;? За эту жизнь, ? провозгласил последним дядя Фима, ? мы дрались, как львы, и львиная доля из нас осталась на поле. [Фазиль Искандер. Время счастливых находок (1973)][омонимия снята];41
лев;животные: звери;рычать;действие;звук;рычать как лев;;;И дома дочь очень целенаправленно «хочет бить» ? ни подушку, ни диван, ни рычать, как лев, а именно «вас всех бить». [коллективный. Как поступать, когда ребенок дразнит и замахивается на чужих взрослых? (2012)];8
лев;животные: звери;сражаться;действие;актуальное/потенциальное занятие;сражаться как лев;;;В море на вас нападают пираты. Вы сражаетесь, как лев. Сцена на триста метров. [И. А. Ильф, Е. П. Петров. Колумб причаливает к берегу (1936)];17
лист;природа: растения;дрожать;состояние;физиология;дрожать как лист;;животные;лихорадочно пробормотал полицейский, начиная дрожать, как лист.;36
лист;природа: растения;дрожать;состояние;физиология;дрожать как осиновый лист;1;животные;Зверь тем временем подходил все ближе, лошадь подо мною дрожала, как осиновый лист, но стояла на удивление смирно.;43
лист;природа: растения;прилипнуть;действие;изменение состояния/признака: достижение результата;прилипнуть как банный лист;1;;? Да я к вашей милости, а она вот прилипла, как банный лист. [А. С. Серафимович. Сумерки (1899)];3
лист;природа: растения;трепетать;состояние;физиология;трепетать как лист;;кисти;Крупные слезы дрожали на опущенных ресницах, она вся трепетала как лист, Правин испугался… [А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833)];9
лошадь;животные: звери;пахать;деятельность;актуальное/потенциальное занятие;пахать как лошадь;;;Пашут, как лошадивремён продразвёрстки и всё такое. [Татьяна Соломатина. Акушер-ХА! Байки (2009)];6
лошадь;животные: звери;пить;действие;актуальное/потенциальное занятие;пить как лошадь;;;Силы столько же, ржет так же, пьет, как лошадь, навоза столько же ? а пользы никакой! [Анатолий Трушкин. 208 избранных страниц (1990-2002)];18
лошадь;животные: звери;работать;деятельность;актуальное/потенциальное занятие;работать как лошадь;;;Пьяница и прогульщик, однако, если захочет, работает, как лошадь». [Владимир Чивилихин. Про Клаву Иванову (1964)];24
лошадь;животные: звери;ржать;поведение, свойство;эмоции: проявление, звук;ржать как лошадь;;;Соседние пацаны во дворе ржали как лошади. [Андрей Геласимов. Нежный возраст (2001)];16
лунатик ;человек;двигаться;действие;движение;двигаться как лунатик;;;Она двигалась как лунатик, глядя в никуда и туманно улыбаясь. [Токарева Виктория. Своя правда // «Новый Мир», 2002];4
люди;человек;жить;деятельность;актуальное/потенциальное занятие;жить как люди;;;Почему все живут как люди, а у неё ? всё не как у людей?;74
магнит;артефакты, природа: объекты;притягивать;воздействие;воздействие;притягивать как магнит;;;"Мёртвое тело всегда и везде ""на воле"" вызывает какой-то смутный интерес, притягивает, как магнит. [В. Т. Шаламов. Колымские рассказы (1954-1961)]";21
мальчишка;человек: маленький возраст;плакать;действие;эмоции: проявление, звук;плакать как мальчишка;;;Как сильно выпьет, навалится мне на плечо и плачет, как мальчишка: “Коль, прости меня, что не погиб, ведь я за всю войну ни разу не был на передовой…”. [Михаил Шишкин. Письмовник (2009) // «Знамя», 2010];5
машина;артефакты;работать;деятельность;актуальное/потенциальное занятие;работать как машина;;город, организм;Наконец, город потому работает, как машина, что все его части функционируют без помех и в точности так, как их спроектировали создатели ? группа людей, которая предназначила город для извлечения прибыли. [Елена Трубина. Джунгли, базар, организм и машина: классические метафоры города и российская современность // «Неприкосновенный запас», 2010];12
мертвец;физические свойства/состояния: мертвый;побледнеть;событие;физиология, эмоции: проявление;побледнеть как мертвец;;;Он побледнел как мертвец и затрясся как осиновый лист, узнав от жены о том, что она затеяла с Минихом и что пока еще неизвестно, чем кончится это отважное предприятие.;12
мертвый;физические свойства/состояния: мертвый;заснуть;событие;изменение состояния/признака: начало нового состояния/признака, физиология;заснуть как мертвый;;;Турки отошли в свой стан и стали собирать мёртвых, а осаждённые греки заснули, как мёртвые, оставив лишь стражей по стенам.;7
мертвый;физические свойства/состояния: мертвый;лежать;положение в пространстве;позиция;лежать как мертвый;;;Однажды, ? это была четвёртая ночь у колодца, ? он лежал как мёртвый. [Д. Н. Мамин-Сибиряк. Ак-Бозат (1895)];59
мертвый;физические свойства/состояния: мертвый;сидеть;положение в пространстве;позиция;сидеть как мёртвый;;животные;Полная концентрация. Сидит как мёртвый. Отличная собака. [Андрей Геласимов. Фокс Малдер похож на свинью (2001)];11
мертвый;физические свойства/состояния: мертвый;спать;состояние;физиология;спать как мертвый;;город, тело;Весь город спал, как мертвый.;21
мираж;природа: явления;растаять;событие;изменение состояния/признака: достижение результата, прекращение существования;растаять как мираж;;;Тепло и комфорт растаяли, как мираж, реальностью был дикий холод безжалостной площади… [Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996];2
монумент;сооружения;застыть;действие;движение: остановка;застыть как монумент;;;Фигуры в президиуме, приученные к длинным заседаниям, напротив, застыли, как монументы. [Гулла Хирачев (Алиса Ганиева). Салам тебе, Далгат! (2009) // «Октябрь», 2010];4
море;природа: объекты;волноваться;свойство;движение: ненаправленное;волноваться как море;;жизнь, юбка, трава, камыши, постель;Жизнь ведь потеряла право расти, как трава, волноваться, как море. [Василий Гроссман. Жизнь и судьба, часть 2 (1960)];13
море;природа: объекты;шуметь;проявление;звук;шуметь как море;;зал, публика, толпа, хлеба, река;Конечно, ребёнок всё спутал.) Зал шумел, как море. ? Пусть не мешает! ? кричали одни. [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996];7
мотылёк;животные: насекомые;лететь;занятие, действие;движение: направленное;лететь как мотылёк на огонь;;;Дитя, ты не знаешь жизни и летишь, как мотылёк на блестящий огонь. [А. И. Куприн. Гранатовый браслет (1911)];2
музыка;абстрактные имена;звучать;проявление, свойство;звук;звучать как музыка;;названия, слова, имя, голос, звон, говор, язык;Сами названия звучат как музыка. Наверное, это красивый белый дом на берегу океана?;20
муха;животные: насекомые;биться;действие;актуальное/потенциальное занятие;биться как муха в паутине;1;;Что-то для чего-то делаешь, бьёшься, как муха в паутине… [Александр Волков. Миры Стивена Хоукинга // «Знание -- сила», 2003];5
муха;животные: насекомые;мереть;процесс;прекращение существования;мереть как мухи;;;"Такие Мухины мрут как мухи, чуть что? и готов клиент"". [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001]";38
муха;животные: насекомые;слетаться;действие;движение: направленное;слетаться как мухи на варенье;1;видения;Не девятнадцатый же век за окном, когда барышни сидели взаперти, а если уж и отваживались на что-то подобное, да ещё и ручку давали поцеловать, то мужики слетались, как мухи на варенье. [Вера Белоусова. Второй выстрел (2000)];6
мышь;животные: звери;надуться;действие;изменение состояния/признака: достижение результата;надуться как мышь на крупу;1;;? К тому же вы сами говорили ? сложный случай, третье вхождение в брюшную полость. ? И надулась, как мышьна крупу. ? Потому, Леночка, и не надо в ране лишних рук. [Татьяна Соломатина. Акушер-ХА! Байки (2009)];27
мышь;животные: звери;притихнуть;действие;звук;притихнуть как мышь;;;Славный был мальчик, умненький, вежливый, но и его испортила проклятая война. Я притих, как мышь. Сидел не шелохнувшись, боясь выдать свое присутствие. [Р. Б. Ахмедов. Промельки (2011) // «Бельские Просторы», ];4
мышь;животные: звери;сидеть;положение в пространстве;позиция;сидеть как мышка;;;Сиди, как мышка, тихо, тетку Зину слушайся, она укроет, спрячет. [Сергей Самсонов. Одиннадцать (2010)];5
насмешка;абстрактные имена;звучать;проявление, свойство;звук;звучать как насмешка;;слово, вопрос;"Рядом с такими словами слово ""любовь"" звучит как насмешка над судом.";5
немой;физические свойства/состояния;молчать;действие, состояние;звук, речь;молчать как немой;;;? Что же ты молчишь, как немая, бабуся? [Э. Г. Казакевич. Звезда (1946)];8
